Year_Month,Monthly_Sales,Unique_Customers,Total_Transactions,Total_Quantity,Year,Month
2010-12-31,821452.73,885,1559,358019,2010,12
2011-01-31,689811.61,741,1086,387099,2011,1
2011-02-28,522545.56,758,1100,282934,2011,2
2011-03-31,716215.26,974,1454,376599,2011,3
2011-04-30,536968.491,856,1246,307953,2011,4
2011-05-31,769296.61,1056,1681,395001,2011,5
2011-06-30,760547.01,991,1533,388511,2011,6
2011-07-31,718076.121,949,1476,399693,2011,7
2011-08-31,757841.38,935,1361,421020,2011,8
2011-09-30,1056435.192,1266,1838,569573,2011,9
2011-10-31,1151263.73,1364,2040,621029,2011,10
2011-11-30,1503866.78,1664,2769,751377,2011,11
2011-12-31,637790.33,615,819,313612,2011,12
